# index,asset_type,symbol,pyth_lazer_id,binance_symbol
1,Crypto,AERO/USD,179,AEROUSDT
2,Crypto,BILL/USD,3203,BILLUSDT
3,Crypto,CLANKER/USD,219,CLANKERUSDT
4,Crypto,DEGEN/USD,412,DEGENUSDT
5,Crypto,DRIFT/USD,249,DRIFTUSDT
6,Crypto,EDGE/USD,3095,EDGEUSDT
7,Crypto,ELIZAOS/USD,2902,
8,Crypto,GOAT/USD,437,GOATUSDT
9,Crypto,GRASS/USD,151,GRASSUSDT
10,Crypto,INX/USD,2972,INXUSDT
11,Crypto,IP/USD,309,IPUSDT
12,Crypto,MEW/USD,137,MEWUSDT
13,Crypto,MOG/USD,152,
14,Crypto,PIPPIN/USD,3038,PIPPINUSDT
15,Crypto,POPCAT/USD,130,POPCATUSDT
16,Crypto,PRL/USD,3096,PRLUSDT
17,Crypto,RIVER/USD,3037,RIVERUSDT
18,Crypto,SAFE/USD,147,SAFEUSDT
19,Crypto,SIREN/USD,3077,SIRENUSDT
20,Crypto,SKR/USD,3023,SKRUSDT
21,Crypto,TOSHI/USD,160,TOSHIUSDT
22,Crypto,VVV/USD,271,VVVUSDT
23,Crypto,ZETA/USD,255,ZETAUSDT
24,Crypto,ZEUS/USD,643,
25,Crypto,ZORA/USD,646,ZORAUSDT
26,Equities,SPCX/USD,3314,SPCXUSDT
